Train-loss,Val-loss
542.1527193731458,299.51873628024396
269.7517682825986,262.943251342609
254.0619687542473,278.974769090784
255.6427990628272,249.57390809881275
245.64202907896532,244.38247203826904
239.70132072029244,271.9705801832265
238.38212786015777,236.29385903785968
235.42127179935625,224.58999202991353
234.37405645888285,235.79857771561063
227.22368107300852,270.78487967211623
232.19878106264724,240.76361299383228
229.79866417167113,248.874452755369
223.72654505857489,230.31864770527542
222.6361620827639,238.46579721878314
224.06876577462526,235.0063679136079
217.58406063289576,240.90192005552095
217.71483078527288,240.5093742239064
215.61351183599623,229.38394390303512
